 age, marital_status, education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
29,married,Associate Certification,Female,27,<15 kms,Internal Referrals,8,5/12/2015,10/14/2015,24,3,Lateral,Yes,5,No,Yes
37,married,Associate Degree,Female,22,<15 kms,Consultants,8,3/9/2015,9/3/2015,20,8,Lateral,Yes,13,No,Yes
28,married,Associate Certification,Female,32,<15 kms,Internal Referrals,8,12/17/2015,5/22/2016,23,4,Lateral,Yes,4,No,Yes
44,married,Associate Certification,Female,27,> 20 kms,Job Portals,9,12/11/2015,6/7/2016,26,6,Lateral,Yes,20,No,Yes
32,married,Bachelor Degree,Female,28,15-20 kms,Company Website,3,2/13/2016,3/11/2016,53,8,Vertical,Yes,8,No,No
44,married,Bachelor Degree,Female,34,> 20 kms,Social Media,9,3/14/2016,8/11/2016,30,7,Lateral,Yes,20,No,Yes
27,married,Bachelor Degree,Female,22,<15 kms,Consultants,3,12/17/2015,1/13/2016,47,5,Vertical,No,6,Yes,No
34,married,Associate Degree,Female,19,15-20 kms,Social Media,3,6/13/2015,6/26/2015,74,6,Lateral,No,10,No,No
33,single,Master Degree,Female,18,> 20 kms,Job Portals,10,6/16/2015,11/16/2015,18,8,Lateral,Yes,9,No,Yes
42,single,Associate Degree,Female,16,> 20 kms,Job Portals,6,7/12/2015,8/10/2015,88,8,Vertical,Yes,18,Yes,No
38,married,Associate Degree,Female,16,<15 kms,Social Media,10,7/10/2015,12/5/2015,20,5,Lateral,Yes,14,No,Yes
33,single,Bachelor Degree,Female,38,> 20 kms,Consultants,4,3/21/2016,4/4/2016,31,4,Vertical,Yes,9,No,No
35,single,Associate Certification,Female,40,> 20 kms,Internal Referrals,9,3/17/2015,8/30/2015,23,5,Lateral,Yes,11,No,Yes
25,divorced,Associate Certification,Female,40,> 20 kms,Social Media,9,11/14/2015,4/6/2016,28,1,Lateral,Yes,1,No,Yes
32,married,Bachelor Degree,Female,16,> 20 kms,Consultants,9,6/10/2015,12/5/2015,17,8,Lateral,Yes,8,No,Yes
35,married,Bachelor Degree,Female,25,<15 kms,Consultants,9,6/8/2016,11/16/2016,15,4,Lateral,Yes,11,No,Yes
37,married,Bachelor Degree,Female,28,<15 kms,Social Media,8,12/20/2015,5/9/2016,22,4,Lateral,Yes,13,No,Yes
25,married,Associate Certification,Female,35,15-20 kms,Company Website,7,7/10/2015,7/16/2015,66,1,Lateral,No,1,Yes,No
26,married,Associate Degree,Female,32,> 20 kms,Social Media,9,6/16/2015,11/3/2015,20,1,Lateral,Yes,2,No,Yes
31,single,Associate Degree,Female,18,> 20 kms,Company Website,3,10/15/2015,10/17/2015,55,3,Lateral,No,7,Yes,No
36,married,Associate Degree,Female,19,> 20 kms,Consultants,8,1/4/2015,5/28/2015,20,6,Lateral,Yes,12,No,Yes
38,married,Bachelor Degree,Female,25,> 20 kms,Company Website,9,5/16/2016,6/15/2016,80,5,Lateral,Yes,14,No,No
38,single,Master Degree,Female,16,<15 kms,Job Portals,9,4/5/2015,5/14/2015,45,6,Lateral,No,14,Yes,No
39,single,Associate Degree,Female,30,<15 kms,Job Portals,8,4/6/2015,10/1/2015,30,5,Lateral,Yes,15,No,Yes
