Role,Skill
Java Developer ,"Spring, Hibernate, struts, Corejava, EJB"
Python Developer,"Python, SQL, Django, Flask, Hadoop"
Big Data Developer,"Hadoop, Spark, Hive, Pig, Sqoop"
Database Administrator,"MongoDB, Oracle, SQL, PlSQL, Linux"
Data Engineer,"SQL, Python, R, MongoDB"
Data Analyst,"Python, Data Analysis, Statistics"
Data Scientist,"Python, R, SQL, Spark, Tableau"
Senior Java Developer,"Team Management, Core Java, Hadoop, Hibernate, Spring"
Deep learning Engineer,"Python, R, ANN, Hadoop, Spark"
Machine Learning Engineer,"Python, SQL, Decision Trees, Statistics, Tableau"
FrontEnd Developer,"HTML, CSS, PHP, Bootstrap"
Mean Stack Developer,"MongoDB, Angular, Node, Express, HTML, Bootstrap"
Full Stack Developer,"HTML, CSS, SQL, Bootstrap, Rest"
Testing Engineer,"Agile, Jira, HTML, CSS, Selenium"
Web Scraper,"HTML, CSS, Selenium, Python"
CTO,"Team Management, Hadoop, Data, Python, Spark, Python, R"
Cyber Security,"Cisco, Firewall, Linux, SQL"
Network Security,"Cisco, Firewall, Linux, Ipv4, Ipv6"
.net Developer,"C#, .net, HTML, CSS, SQL, MVC"
Cloud Engineer,"AWS, Azure, GCP, Linux, SQL"
